channel,h,var,coef,se,p,n
I,4,W_I,-2.9109620203488746,0.4726768652159058,9.244442932182963e-09,2438
I,4,infl_z,-0.15874880036553812,0.15889169750217175,0.3196760830990696,2438
I,4,gov_eff_z,0.3433539647458982,0.45082761022673634,0.44772846449058196,2438
I,4,growth_lag,-0.029737157071976945,0.013986934096159316,0.03546433450190856,2438
T,-2,M_z,-3.3919047336556463,0.9368950678519994,0.00042952105377120617,2614
T,-2,MxW_F,-0.4252768023508091,0.3617271975205854,0.24201048455176083,2614
T,-2,MxW_T,-0.6768609591375104,1.1246029955753156,0.5483798224425767,2614
T,-2,MxW_I,0.6329679292691913,0.6429098085646268,0.3268004794842023,2614
T,-2,W_F,-0.6793469500615968,0.5783525339790829,0.2424326694946669,2614
T,-2,W_T,10.81595138407087,2.1445110346879632,1.6101959961886174e-06,2614
T,-2,W_I,-2.6679737882867536,1.3375524012117732,0.04830817403337106,2614
T,-2,infl_z,-2.4989914553904398,0.8422147555072002,0.003617783818758587,2614
T,-2,gov_eff_z,-2.0458287229764864,1.8199534475461174,0.2631731167771022,2614
T,-1,M_z,-2.5639256449790486,0.6196407412920967,6.480930747098667e-05,2730
T,-1,MxW_F,-0.26442956605224904,0.19265918918956085,0.1724180321005898,2730
T,-1,MxW_T,0.06124476560152131,0.6910287429064842,0.9295225667986646,2730
T,-1,MxW_I,0.3945840719366454,0.37516734407714064,0.2949908098754345,2730
T,-1,W_F,-0.21192127458461296,0.2855912894975552,0.459486940908361,2730
T,-1,W_T,6.757980974204588,1.2109765511193733,1.4721305056813068e-07,2730
T,-1,W_I,-1.6456963642047224,0.7250418960351035,0.02497543909913336,2730
T,-1,infl_z,-0.9989385433123749,0.5141299443038573,0.054323493184100985,2730
T,-1,gov_eff_z,-1.7716300514437648,1.0277860461902106,0.08728899424634326,2730
T,0,M_z,-3.1005298951745828,0.6155596826063123,1.6569623702630012e-06,2745
T,0,MxW_F,-0.11159234768610159,0.2727971584793972,0.6832076369358816,2745
T,0,MxW_T,0.8826100489205209,0.6869672930801929,0.20129902087212978,2745
T,0,MxW_I,0.8678591123268877,0.37046787804976583,0.020769037799684465,2745
T,0,W_F,0.252514726185021,0.34553569592359235,0.4663073588263819,2745
T,0,W_T,7.715004067428037,1.3519522826630788,8.240870668769333e-08,2745
T,0,W_I,-2.1077386362846555,0.8062121437158114,0.010065491556298996,2745
T,0,infl_z,-0.917343647506446,0.47661620960118495,0.05659509164785186,2745
T,0,gov_eff_z,-1.3984154212938023,1.27635686300396,0.2753986976579805,2745
T,0,growth_lag,-0.2180964935994586,0.15172610200600384,0.15315417420395433,2745
T,1,M_z,-4.6043405498503525,1.019321938993905,1.4588104023270183e-05,2627
T,1,MxW_F,-0.8369917681242816,0.5444624754961387,0.1268140749021484,2627
